"id";"vpu_id";"decision";"avg_usage";"max_usage";"forecasted_max";"scale_percent";"itis_ticket_number";"action_status";"remarks";"run_id";"created_at";"resource_type"
219;110;"no_change";31.2;77.63;47.04;0.0;"";"";"";"110";"2026-06-20 11:50:30";"cpu"
221;111;"no_change";28.69;66.67;28.24;0.0;"";"";"";"111";"2026-06-20 11:55:06";"cpu"
223;112;"no_change";36.69;68.07;36.83;0.0;"";"";"";"112";"2026-06-20 11:55:06";"cpu"
225;113;"no_change";17.05;76.37;21.49;0.0;"";"";"";"113";"2026-06-20 11:55:06";"cpu"
227;114;"scale_down";2.82;50.7;4.19;25.0;"";"";"";"114";"2026-06-20 11:55:06";"cpu"
229;115;"scale_down";2.36;41.9;3.1;50.0;"";"";"";"115";"2026-06-20 11:55:06";"cpu"
231;116;"scale_down";3.76;46.8;6.37;25.0;"";"";"";"116";"2026-06-20 11:59:49";"cpu"
233;117;"no_change";3.75;72.17;4.67;0.0;"";"";"";"117";"2026-06-20 11:59:49";"cpu"
235;118;"scale_down";5.46;51.43;6.61;25.0;"";"";"";"118";"2026-06-20 11:59:49";"cpu"
237;119;"scale_down";1.75;48.07;1.84;25.0;"";"";"";"119";"2026-06-20 11:59:49";"cpu"
239;120;"scale_down";11.02;52.03;16.98;25.0;"";"";"";"120";"2026-06-20 11:59:49";"cpu"
241;121;"scale_down";3.28;38.73;3.95;50.0;"";"";"";"121";"2026-06-20 12:04:24";"cpu"
243;122;"scale_down";1.85;26.33;2.6;50.0;"";"";"";"122";"2026-06-20 12:04:24";"cpu"
245;123;"no_change";9.64;64.2;20.27;0.0;"";"";"";"123";"2026-06-20 12:04:24";"cpu"
247;124;"scale_down";4.43;31.47;1.91;50.0;"";"";"";"124";"2026-06-20 12:04:24";"cpu"
249;125;"scale_down";0.8;24.17;3.15;50.0;"";"";"";"125";"2026-06-20 12:04:24";"cpu"
251;126;"scale_down";0.6;29.77;0.6;50.0;"";"";"";"126";"2026-06-20 12:09:04";"cpu"
253;127;"scale_down";2.2;34.17;2.74;50.0;"";"";"";"127";"2026-06-20 12:09:04";"cpu"
255;128;"scale_down";0.19;12.8;0.38;50.0;"";"";"";"128";"2026-06-20 12:09:04";"cpu"
257;129;"no_change";4.81;96.37;8.78;0.0;"";"";"";"129";"2026-06-20 12:09:04";"cpu"
259;130;"scale_down";4.18;39.47;5.01;50.0;"";"";"";"130";"2026-06-20 12:09:04";"cpu"
261;131;"scale_down";4.82;53.13;6.66;25.0;"";"";"";"131";"2026-06-20 12:13:47";"cpu"
263;132;"no_change";11.53;88.7;13.51;0.0;"";"";"";"132";"2026-06-20 12:13:47";"cpu"
265;133;"scale_down";5.86;35.0;9.83;50.0;"";"";"";"133";"2026-06-20 12:13:47";"cpu"
267;134;"scale_down";7.48;46.93;26.37;25.0;"";"";"";"134";"2026-06-20 12:13:47";"cpu"
269;135;"scale_down";2.84;45.2;2.81;25.0;"";"";"";"135";"2026-06-20 12:13:47";"cpu"
271;136;"scale_down";6.48;32.1;10.47;50.0;"";"";"";"136";"2026-06-20 12:18:40";"cpu"
273;137;"scale_down";10.2;55.7;32.36;25.0;"";"";"";"137";"2026-06-20 12:18:40";"cpu"
275;138;"scale_down";4.43;45.0;5.24;25.0;"";"";"";"138";"2026-06-20 12:18:40";"cpu"
277;139;"scale_down";3.16;48.63;5.82;25.0;"";"";"";"139";"2026-06-20 12:18:40";"cpu"
279;140;"scale_down";3.65;48.03;11.85;25.0;"";"";"";"140";"2026-06-20 12:18:40";"cpu"
281;141;"scale_down";7.09;53.9;8.54;25.0;"";"";"";"141";"2026-06-20 12:23:23";"cpu"
283;142;"scale_down";7.9;52.47;7.42;25.0;"";"";"";"142";"2026-06-20 12:23:23";"cpu"
285;143;"scale_down";16.96;51.5;1.8;25.0;"";"";"";"143";"2026-06-20 12:23:23";"cpu"
