"vm_id";"class";"cpu_count";"cpu_core_count";"ram"
343;"host393";2;8;65536
344;"host394";4;1;16384
345;"host395";2;1;10240
346;"host396";8;1;131072
347;"host397";4;1;16384
348;"host398";8;1;32768
349;"host399";6;1;32768
350;"host400";1;8;16384
351;"host401";4;2;24576
352;"host402";1;2;3660
353;"host403";2;2;16384
354;"host404";2;2;24576
355;"host405";2;4;65535
356;"host406";3;2;65535
357;"host407";2;4;65535
358;"host408";3;6;65535
359;"host409";3;6;65535
360;"host410";1;4;8192
361;"host411";1;4;16384
362;"host412";2;1;12288
363;"host413";12;1;32768
364;"host414";12;1;32768
365;"host415";12;1;24576
366;"host416";4;1;8192
367;"host417";8;1;65536
368;"host418";4;2;32768
369;"host419";1;8;8192
370;"host420";8;1;16384
371;"host421";8;1;16384
372;"host422";4;1;12288
373;"host423";2;16;65536
374;"host424";49;1;65536
375;"host425";4;1;16384
376;"host426";4;1;8192
377;"host427";4;1;8192
378;"host428";2;1;20480
379;"host429";2;2;8192
380;"host430";1;6;24576
381;"host431";8;1;32768
382;"host432";4;1;24576
383;"host433";4;4;16384
384;"host434";4;4;16384
385;"host435";16;1;613037
386;"host436";16;1;214260
387;"host437";4;1;81920
388;"host438";6;1;24576
389;"host439";8;1;40960
390;"host440";2;1;12288
391;"host441";4;1;16384
392;"host442";4;1;16384
393;"host443";4;1;16384
394;"host444";8;1;32768
395;"host445";8;1;65536
396;"host446";8;1;65536
397;"host447";8;4;131072
398;"host448";4;1;16384
399;"host449";8;1;32768
400;"host450";16;1;200704
401;"host451";12;1;32768
402;"host452";8;1;32768
403;"host453";6;1;262144
404;"host454";6;1;12288
405;"host455";1;8;15680
406;"host456";8;1;32768
407;"host457";12;1;73728
408;"host458";2;5;32768
409;"host459";8;1;65536
410;"host460";2;1;12288
411;"host461";2;1;7698
412;"host462";3;2;16384
413;"host463";2;4;65536
414;"host464";1;2;8192
415;"host465";5;2;24576
416;"host466";8;1;16384
417;"host467";10;1;32768
418;"host468";5;2;24576
419;"host469";4;1;11706
420;"host470";1;1;4096
421;"host471";8;1;32768
422;"host472";8;1;32768
423;"host473";3;2;32768
424;"host474";1;2;8192
425;"host475";12;1;67584
426;"host476";2;16;131040
427;"host477";2;16;131040
428;"host478";0;1;0
429;"host479";2;2;16384
430;"host480";5;2;49152
431;"host481";6;1;32768
432;"host482";1;1;4096
433;"host483";16;1;262144
434;"host484";2;2;16384
435;"host485";2;2;12288
436;"host486";4;1;32768
437;"host487";4;2;16384
438;"host488";3;1;16384
439;"host489";8;1;63889
