"id";"vpu_id";"decision";"resource_type";"avg_usage";"max_usage";"forecasted_max";"scale_percent";"itis_ticket_number";"action_status";"remarks";"run_id";"created_at"
406;915;"no_change";"memory";55.33;56.98;56.5;0.0;"";"";"";"411";"2026-06-21 11:55:04"
407;916;"no_change";"memory";71.2;79.66;72.05;0.0;"";"";"";"412";"2026-06-21 11:55:04"
408;917;"no_change";"memory";74.43;75.5;67.95;0.0;"";"";"";"413";"2026-06-21 11:55:05"
409;918;"no_change";"memory";58.85;61.99;61.45;0.0;"";"";"";"414";"2026-06-21 11:55:05"
410;919;"no_change";"memory";50.46;52.09;50.71;0.0;"";"";"";"415";"2026-06-21 11:55:05"
411;920;"no_change";"memory";63.42;64.69;64.59;0.0;"";"";"";"416";"2026-06-21 11:57:56"
412;921;"no_change";"memory";66.46;68.39;68.43;0.0;"";"";"";"417";"2026-06-21 11:57:57"
413;922;"scale_down";"memory";38.43;41.27;41.36;25.0;"";"";"";"418";"2026-06-21 11:57:57"
414;923;"no_change";"memory";49.36;55.41;51.91;0.0;"";"";"";"419";"2026-06-21 11:57:57"
415;924;"no_change";"memory";51.35;54.2;53.38;0.0;"";"";"";"420";"2026-06-21 11:57:57"
416;925;"no_change";"memory";77.7;78.08;80.23;0.0;"";"";"";"421";"2026-06-21 12:00:55"
417;926;"scale_down";"memory";23.33;28.46;27.84;50.0;"";"";"";"422";"2026-06-21 12:00:55"
418;927;"no_change";"memory";79.53;80.6;77.86;0.0;"";"";"";"423";"2026-06-21 12:00:56"
419;928;"no_change";"memory";43.0;45.28;30.16;0.0;"";"";"";"424";"2026-06-21 12:00:56"
420;929;"scale_down";"memory";14.31;19.63;18.4;50.0;"";"";"";"425";"2026-06-21 12:00:56"
421;930;"no_change";"memory";44.12;45.11;45.27;0.0;"";"";"";"426";"2026-06-21 12:03:54"
422;931;"scale_down";"memory";33.84;36.58;34.72;25.0;"";"";"";"427";"2026-06-21 12:03:55"
423;932;"no_change";"memory";50.69;53.25;43.83;0.0;"";"";"";"428";"2026-06-21 12:03:55"
424;933;"no_change";"memory";41.59;43.47;39.58;0.0;"";"";"";"429";"2026-06-21 12:03:55"
425;934;"scale_down";"memory";13.26;14.11;15.57;50.0;"";"";"";"430";"2026-06-21 12:03:55"
426;935;"no_change";"memory";40.37;42.76;35.23;0.0;"";"";"";"431";"2026-06-21 12:06:46"
427;936;"scale_down";"memory";13.45;14.04;15.41;50.0;"";"";"";"432";"2026-06-21 12:06:47"
428;937;"no_change";"memory";47.58;48.63;50.25;0.0;"";"";"";"433";"2026-06-21 12:06:47"
429;938;"no_change";"memory";44.72;46.27;34.91;0.0;"";"";"";"434";"2026-06-21 12:06:48"
430;939;"scale_down";"memory";37.59;41.06;33.36;25.0;"";"";"";"435";"2026-06-21 12:06:48"
431;940;"scale_down";"memory";23.41;23.92;25.26;50.0;"";"";"";"436";"2026-06-21 12:09:42"
432;941;"no_change";"memory";46.99;49.2;38.52;0.0;"";"";"";"437";"2026-06-21 12:09:42"
433;942;"scale_down";"memory";16.64;17.1;23.79;50.0;"";"";"";"438";"2026-06-21 12:09:42"
434;943;"scale_down";"memory";32.96;34.36;43.21;25.0;"";"";"";"439";"2026-06-21 12:09:42"
435;944;"scale_down";"memory";27.14;28.29;13.42;50.0;"";"";"";"440";"2026-06-21 12:09:43"
436;945;"scale_down";"memory";22.63;23.68;21.85;50.0;"";"";"";"441";"2026-06-21 12:12:41"
437;946;"no_change";"memory";61.03;67.01;60.13;0.0;"";"";"";"442";"2026-06-21 12:12:41"
438;947;"scale_down";"memory";17.81;18.32;15.26;50.0;"";"";"";"443";"2026-06-21 12:12:41"
439;948;"no_change";"memory";68.95;70.79;75.09;0.0;"";"";"";"444";"2026-06-21 12:12:42"
440;949;"no_change";"memory";60.43;62.15;58.06;0.0;"";"";"";"445";"2026-06-21 12:12:42"
