"vm_id";"vm_name";"cpu_count";"cpu_core_count";"ram";"hypervisor";"resize_type"
283;"host333";2;2;16384;"Hyper-v";"no_change"
284;"host334";1;3;8192;"Hyper-v";"no_change"
285;"host335";2;3;8192;"Hyper-v";"no_change"
286;"host336";2;4;65536;"Hyper-v";"no_change"
287;"host337";1;4;65536;"Hyper-v";"no_change"
288;"host338";6;1;32768;"Hyper-v";"no_change"
289;"host339";2;2;32768;"Hyper-v";"no_change"
290;"host340";1;2;8192;"Hyper-v";"no_change"
291;"host341";1;8;49152;"Hyper-v";"no_change"
292;"host342";1;4;32768;"Hyper-v";"no_change"
293;"host343";1;2;8192;"Hyper-v";"no_change"
294;"host344";1;8;40960;"Hyper-v";"no_change"
295;"host345";4;4;131072;"Hyper-v";"no_change"
296;"host346";2;12;65536;"Hyper-v";"no_change"
297;"host347";4;2;65536;"Hyper-v";"no_change"
298;"host348";4;4;32768;"Hyper-v";"no_change"
299;"host349";1;4;32768;"Hyper-v";"no_change"
300;"host350";1;8;65536;"Hyper-v";"no_change"
301;"host351";1;8;65536;"Hyper-v";"no_change"
302;"host352";2;4;65536;"Hyper-v";"no_change"
303;"host353";2;2;24576;"Hyper-v";"no_change"
304;"host354";2;1;8192;"Hyper-v";"no_change"
305;"host355";1;2;8192;"Hyper-v";"no_change"
306;"host356";6;2;65536;"Hyper-v";"no_change"
307;"host357";1;2;8192;"Hyper-v";"no_change"
308;"host358";2;12;131072;"Hyper-v";"no_change"
309;"host359";2;12;131072;"Hyper-v";"no_change"
310;"host360";4;2;36864;"Hyper-v";"no_change"
311;"host361";6;1;32768;"Hyper-v";"no_change"
312;"host362";1;2;40960;"Hyper-v";"no_change"
313;"host363";1;4;12288;"Hyper-v";"no_change"
314;"host364";3;8;65536;"Hyper-v";"no_change"
315;"host365";4;6;131072;"Hyper-v";"no_change"
316;"host366";4;8;131072;"Hyper-v";"no_change"
317;"host367";4;6;131072;"Hyper-v";"no_change"
318;"host368";2;1;8192;"Hyper-v";"no_change"
319;"host369";4;1;32768;"Hyper-v";"no_change"
320;"host370";1;8;65536;"Hyper-v";"no_change"
321;"host371";3;8;65536;"Hyper-v";"no_change"
322;"host372";3;8;65536;"Hyper-v";"no_change"
323;"host373";1;8;65536;"Hyper-v";"no_change"
324;"host374";1;8;49152;"Hyper-v";"no_change"
325;"host375";3;8;131072;"Hyper-v";"no_change"
326;"host376";1;1;4096;"Hyper-v";"no_change"
327;"host377";3;8;131072;"Hyper-v";"no_change"
328;"host378";1;8;65536;"Hyper-v";"no_change"
329;"host379";4;1;32768;"Hyper-v";"no_change"
330;"host380";3;4;98304;"Hyper-v";"no_change"
331;"host381";2;1;8192;"Hyper-v";"no_change"
332;"host382";8;0;0;"Hyper-v";"no_change"
333;"host383";1;2;32768;"Hyper-v";"no_change"
334;"host384";4;2;32768;"Hyper-v";"no_change"
335;"host385";1;4;12288;"Hyper-v";"no_change"
336;"host386";1;8;122880;"Hyper-v";"no_change"
